lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
210,1,35,22,3,8,2,0.0,0,2,6,3,0,0,0,4,4,0,0,0,2,192.73,0,2
4,6,27,26,2,0,1,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,113.0,0,1
33,8,23,29,2,1,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,2,85.5,0,0
7,2,51,17,1,1,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,78.0,0,1
21,2,51,17,0,2,1,0.0,0,0,2,0,0,0,0,0,0,0,0,0,3,65.0,0,0
160,2,53,30,0,3,2,0.0,0,0,5,3,0,0,0,0,0,0,0,111,3,70.0,0,0
28,8,21,19,2,5,3,0.0,0,0,5,3,0,0,0,0,0,0,0,0,2,79.9,0,2
274,5,29,18,2,2,2,0.0,0,0,4,3,0,1,0,0,0,0,0,0,3,62.0,0,0
155,5,29,17,1,1,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,89.1,0,1
48,11,40,30,2,3,2,0.0,0,0,6,3,0,0,0,4,4,0,0,0,2,107.0,0,0
25,4,3,14,0,2,2,2.0,0,0,6,3,0,0,0,6,6,0,0,0,2,79.0,0,1
154,5,29,11,1,2,2,0.0,0,0,5,3,0,0,0,0,1,0,0,0,2,64.8,0,0
1,2,53,29,0,4,2,0.0,1,0,4,3,0,0,0,1,1,2,0,0,2,72.5,0,2
364,10,42,16,0,2,2,0.0,0,2,5,3,0,1,0,0,0,0,1,0,3,101.5,0,0
18,2,51,11,1,0,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,3,80.0,0,0
21,4,1,2,1,3,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,90.1,0,2
15,3,7,17,0,2,2,0.0,0,0,5,3,0,0,0,0,0,0,1,0,2,95.0,0,0
22,7,11,16,2,5,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,2,68.0,0,1
80,1,34,26,2,2,2,0.0,0,0,5,3,0,0,0,3,3,0,0,0,0,135.0,0,1
25,2,50,8,0,2,1,0.0,0,0,5,3,0,1,0,0,0,0,1,0,2,90.0,0,0
164,9,46,9,2,5,2,0.0,0,2,6,3,0,0,0,0,3,0,0,0,2,61.2,1,0
69,8,20,14,2,1,3,0.0,0,0,6,3,0,0,0,0,3,0,0,0,2,159.3,0,1
3,8,21,20,0,2,2,0.0,0,0,6,3,0,0,0,0,5,0,0,0,2,89.0,0,0
206,7,13,21,2,5,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,42.69,0,1
157,8,18,1,1,3,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,130.0,0,0
30,8,21,21,2,2,2,1.0,0,0,6,3,0,0,0,0,1,0,0,0,2,133.58,0,0
1,8,19,9,0,1,1,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,95.0,0,0
32,0,17,19,2,5,2,0.0,0,2,4,1,0,0,0,3,3,0,0,0,3,38.22,0,0
53,6,24,7,0,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,129.0,0,1
246,11,36,5,2,5,2,0.0,0,0,5,3,0,1,0,0,0,0,0,0,3,58.95,0,0
304,9,45,3,0,3,2,0.0,0,0,5,3,0,0,0,0,0,0,1,0,2,89.0,0,0
127,5,30,25,0,3,2,0.0,0,0,5,3,0,0,0,3,3,0,0,0,2,98.1,0,0
0,4,3,17,0,1,1,0.0,0,0,3,1,1,0,1,0,0,0,0,0,2,57.0,0,0
113,11,37,7,1,4,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,2,118.8,0,0
272,5,28,12,0,3,2,2.0,0,0,6,3,0,0,0,5,5,3,0,0,3,179.1,0,2
11,9,45,5,0,1,2,1.0,0,0,6,3,0,0,0,0,0,0,0,0,2,150.0,0,1
98,9,48,23,1,2,1,0.0,0,0,4,3,0,0,0,0,0,0,0,0,3,70.0,0,0
292,1,32,5,0,2,2,0.0,0,0,4,3,0,1,0,0,0,0,1,0,3,62.0,0,0
16,2,50,4,2,0,2,1.0,0,0,6,3,0,0,0,0,0,0,0,0,2,118.8,0,1
70,0,17,22,2,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,97.33,0,0
49,5,30,20,3,6,2,0.0,0,1,5,3,0,0,0,3,3,0,0,0,2,111.2,0,0
379,10,44,31,1,1,2,0.0,0,0,4,3,0,1,0,0,0,0,1,0,2,62.0,0,0
289,5,30,25,0,4,2,1.0,0,0,6,3,0,0,0,4,4,0,0,0,2,172.8,0,0
108,0,18,29,2,2,2,0.0,0,2,4,3,0,0,0,0,0,0,1,0,2,84.0,0,0
128,2,50,8,0,3,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,36.04,0,2
18,0,15,9,2,3,1,0.0,0,0,5,3,0,0,0,0,0,0,0,0,0,33.3,0,0
46,1,32,12,2,5,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,2,212.0,0,0
4,1,33,11,0,5,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,0,90.0,0,2
332,0,16,22,1,1,2,1.0,0,0,6,3,0,0,0,0,0,0,0,0,2,125.1,0,0
28,3,7,13,1,2,2,0.0,0,0,5,3,0,0,0,0,3,0,0,0,2,75.0,0,0
1,10,42,13,0,1,2,0.0,0,0,6,3,0,0,0,3,3,1,0,0,2,66.0,0,1
53,10,41,9,1,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,0,94.5,0,0
260,2,52,20,4,9,1,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,47.54,0,1
166,1,35,27,2,2,1,0.0,0,0,5,3,0,0,0,0,0,0,0,0,3,100.8,0,0
76,5,29,16,2,3,2,0.0,0,0,3,1,0,0,0,0,0,0,0,0,2,108.0,0,0
1,1,33,9,1,0,2,2.0,0,0,6,3,0,0,0,5,5,0,0,0,2,153.0,0,2
172,0,15,13,0,3,2,1.0,0,0,6,3,0,0,0,0,0,0,0,0,2,153.0,0,2
2,7,13,20,2,4,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,3,85.0,0,0
4,6,23,6,0,3,1,0.0,0,0,5,3,1,0,3,0,0,0,0,0,2,108.0,0,2
175,1,35,31,1,3,2,0.0,0,0,5,3,0,0,0,0,0,1,0,0,2,86.85,0,2
97,10,41,5,1,3,1,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,140.0,0,0
2,10,41,9,0,1,1,0.0,0,0,4,0,0,0,1,0,3,0,0,0,2,48.0,0,0
8,5,28,7,0,4,3,2.0,0,0,6,3,0,0,0,7,7,2,0,0,2,193.0,0,1
468,8,20,12,0,2,2,0.0,0,2,4,3,0,1,0,0,0,0,0,0,3,67.0,0,0
36,6,24,9,0,3,2,1.0,0,0,6,3,0,0,0,5,6,0,0,0,2,153.03,1,1
262,9,46,9,1,2,2,0.0,0,0,4,3,0,1,0,0,0,0,1,0,2,62.8,0,0
91,7,12,18,0,2,1,0.0,0,0,4,3,0,0,0,0,0,0,1,20,2,75.0,0,0
50,0,16,12,0,3,2,1.0,0,2,6,3,0,0,0,0,3,0,0,0,2,164.25,0,2
32,10,43,22,2,5,2,0.0,0,0,3,1,0,0,0,0,0,0,0,0,2,118.0,0,2
19,10,41,6,0,3,1,0.0,0,0,5,3,1,1,0,0,0,0,1,0,2,80.0,0,0
61,0,18,30,1,1,2,0.0,0,0,5,3,0,0,0,0,1,1,0,0,2,89.75,0,1
297,5,29,21,2,2,2,1.0,0,0,3,1,0,0,0,0,0,1,0,0,2,102.1,0,0
131,6,23,8,0,3,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,144.0,0,1
228,11,37,5,6,15,2,0.0,0,2,3,1,0,0,1,3,3,0,0,0,2,88.0,0,1
330,6,23,2,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,62.0,0,0
53,8,21,18,0,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,126.9,0,0
144,6,27,26,2,0,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,3,85.5,0,1
36,2,53,27,2,0,2,0.0,0,2,5,3,0,0,0,0,3,1,0,0,2,55.4,1,0
313,0,17,29,2,1,2,0.0,0,0,5,3,0,0,0,0,0,0,1,0,2,90.0,0,0
32,0,17,19,2,5,2,0.0,0,2,4,1,0,0,0,3,3,0,0,0,3,69.36,0,0
524,2,51,15,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,62.8,0,0
56,7,12,21,0,3,2,0.0,0,0,5,3,0,0,0,0,0,0,1,0,2,85.0,0,0
138,1,34,18,0,2,3,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,142.2,0,0
156,1,35,21,2,1,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,103.5,1,0
164,10,40,2,0,2,1,0.0,0,0,5,3,0,0,0,0,0,0,0,0,3,100.0,0,0
8,9,48,25,0,1,1,0.0,0,0,2,0,0,0,7,0,3,0,0,0,2,35.0,0,1
2,9,47,18,0,2,2,0.0,0,2,3,3,0,0,0,0,3,0,0,0,2,73.8,0,2
391,5,31,27,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,65.0,0,0
66,9,48,24,0,3,2,0.0,0,0,5,3,0,0,0,0,3,0,0,0,2,75.0,0,0
256,1,36,31,0,4,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,3,90.95,0,0
94,1,35,23,0,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,117.9,0,0
94,3,7,13,1,3,3,0.0,0,2,4,3,0,0,0,0,0,1,0,0,3,88.0,0,0
97,10,41,5,1,3,1,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,140.0,0,0
56,7,10,3,1,3,2,0.0,0,0,4,0,0,0,0,0,0,0,0,0,3,72.0,0,0
191,0,14,6,2,3,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,88.4,0,0
9,5,27,1,0,2,2,0.0,0,0,6,3,0,0,0,5,5,0,0,0,2,169.0,0,1
81,10,45,30,2,1,2,0.0,0,0,3,1,0,0,0,0,0,0,0,0,2,79.8,0,0
150,4,4,18,1,4,1,0.0,0,0,5,3,0,0,0,0,0,1,0,63,3,80.0,0,0
210,1,33,19,2,5,3,0.0,0,2,5,3,0,0,0,0,0,0,0,0,2,187.24,0,0
448,6,24,17,2,1,2,0.0,0,0,4,3,0,0,0,0,0,0,0,0,3,112.67,0,1
152,5,29,10,2,2,2,0.0,0,0,6,3,0,0,0,3,3,3,0,0,2,134.3,0,3
14,11,36,4,2,2,2,0.0,0,2,6,3,0,0,0,0,1,0,0,0,2,113.0,1,3
135,0,16,21,1,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,90.0,0,0
36,11,40,28,0,3,2,0.0,0,0,4,3,0,0,0,0,1,0,0,0,3,87.0,0,0
70,4,5,27,2,5,2,0.0,0,0,5,3,0,0,0,3,3,0,0,0,2,52.0,0,0
236,8,20,12,0,3,2,0.0,0,0,4,3,0,0,0,0,8,0,0,0,3,54.0,1,0
1,3,5,3,1,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,117.0,0,1
316,8,19,10,0,2,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,123.3,0,1
200,10,40,2,1,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,89.25,0,1
277,9,46,7,1,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,100.0,0,0
2,1,33,9,1,0,2,0.0,0,0,3,1,0,0,0,4,4,0,0,0,2,67.5,0,2
242,8,18,1,4,10,2,0.0,0,2,5,3,0,0,0,4,4,0,0,0,2,84.15,0,1
4,3,7,7,2,2,1,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,76.22,1,1
56,6,24,8,0,1,2,0.0,0,0,5,0,0,0,0,0,0,0,0,0,3,120.0,0,0
253,11,40,26,1,2,1,0.0,0,0,6,3,0,0,0,0,0,1,0,0,2,2.0,0,0
357,8,21,24,0,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,109.8,0,1
118,6,23,10,0,1,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,160.0,0,0
170,5,29,16,5,10,2,0.0,0,2,5,3,0,0,0,4,4,0,0,0,2,163.8,0,0
207,10,41,4,1,5,2,0.0,0,2,5,3,0,0,0,0,0,1,0,0,2,70.0,0,0
87,0,15,15,2,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,95.0,0,0
37,7,11,15,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,110.0,0,0
110,0,15,10,1,2,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,99.0,0,1
0,9,45,4,0,2,1,0.0,0,0,6,3,0,0,0,0,0,1,0,0,2,44.1,0,1
74,11,38,18,0,2,2,0.0,0,2,5,3,0,0,0,0,0,0,1,0,3,101.5,0,0
143,7,10,5,2,5,2,0.0,0,2,5,3,0,0,0,3,4,0,0,0,2,52.4,0,0
2,2,50,11,0,1,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,94.0,1,0
344,6,25,16,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,62.0,0,0
43,9,49,29,4,11,1,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,74.8,0,1
100,1,31,1,2,5,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,3,125.0,0,0
92,5,27,1,2,4,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,76.5,0,2
215,0,15,14,2,2,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,110.0,0,1
208,0,17,19,2,5,2,0.0,0,2,4,1,0,0,0,4,4,0,1,0,2,60.3,0,0
158,7,13,27,1,1,2,0.0,0,0,4,3,0,0,0,0,3,0,0,0,3,95.0,0,1
78,10,41,9,1,2,2,0.0,0,1,4,3,0,0,0,0,0,0,1,0,2,92.0,0,0
49,5,31,27,1,5,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,118.17,0,0
0,3,7,17,1,2,2,0.0,0,0,3,1,0,0,0,4,4,0,0,0,2,76.0,0,0
133,5,27,7,1,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,107.1,0,2
80,4,3,20,0,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,93.6,0,0
199,8,19,2,1,1,2,0.0,0,2,4,3,0,0,0,0,0,0,0,0,3,85.0,0,0
40,5,30,22,2,4,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,194.0,0,0
2,9,45,2,0,2,1,0.0,0,0,0,0,0,0,0,3,3,0,0,0,2,94.0,0,0
13,7,14,27,2,2,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,2,79.15,0,0
5,9,46,6,2,3,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,106.68,0,1
153,1,32,3,1,2,2,0.0,0,0,4,3,0,1,0,0,0,0,1,0,2,60.0,0,0
54,3,7,8,1,4,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,75.95,0,1
10,3,7,12,1,0,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,48.0,0,1
23,1,32,4,0,3,2,1.0,0,2,6,3,0,0,0,0,0,0,0,0,2,272.7,0,0
235,1,32,6,1,1,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,3,105.3,1,2
242,10,44,28,2,2,2,1.0,0,0,6,3,0,0,0,3,3,0,0,0,2,95.13,0,1
185,8,19,12,2,3,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,114.3,0,0
16,10,44,29,2,1,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,140.0,0,2
229,5,28,12,1,4,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,110.0,0,0
158,8,22,24,0,2,1,0.0,0,0,4,3,0,0,0,0,0,0,1,31,2,130.0,0,0
17,11,39,26,2,2,1,0.0,0,0,4,3,0,0,0,0,0,1,0,0,3,170.0,0,0
149,5,30,26,0,4,2,2.0,0,0,3,1,0,0,0,2,2,0,0,0,2,211.25,0,0
163,10,43,23,1,2,1,0.0,0,0,6,3,0,0,0,0,2,0,0,0,3,47.0,0,1
1,1,33,11,0,1,1,0.0,0,0,3,1,0,0,0,0,0,0,0,0,2,149.0,0,0
81,0,15,3,2,3,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,52.2,0,1
91,0,14,2,2,2,2,0.0,0,0,6,3,0,0,0,0,0,2,0,0,2,117.0,0,4
122,0,16,15,0,2,2,0.0,0,0,5,3,0,0,0,0,0,0,0,56,3,85.0,0,0
143,9,47,17,0,1,1,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,84.6,0,1
120,1,32,4,2,5,2,0.0,0,0,5,3,0,0,0,0,3,0,0,0,3,90.95,0,1
113,3,9,25,0,3,2,0.0,0,0,5,3,0,1,0,0,0,0,1,44,2,75.0,0,0
395,7,13,21,1,2,2,0.0,0,0,4,3,0,1,0,0,0,0,1,0,2,62.8,0,0
391,1,32,4,0,1,1,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,59.0,0,0
71,5,27,7,1,2,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,150.0,0,1
7,7,9,2,1,3,1,0.0,0,0,4,0,0,0,0,0,0,1,0,0,3,29.0,0,0
151,5,30,25,2,1,2,0.0,0,2,4,3,0,1,0,0,0,0,1,0,3,86.0,0,0
277,9,46,7,1,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,100.0,0,0
169,6,23,8,0,3,2,0.0,0,0,5,3,0,0,0,0,0,0,1,0,2,170.0,0,0
158,8,22,25,0,4,2,1.0,0,0,6,3,0,0,0,0,3,13,0,0,2,114.75,0,1
50,10,44,29,0,1,2,0.0,0,0,6,3,0,0,0,4,4,0,0,0,2,88.0,0,1
0,5,27,2,1,0,2,0.0,0,3,3,1,0,0,0,1,1,1,0,0,2,98.0,0,0
73,5,30,24,1,3,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,147.5,0,0
0,0,18,28,0,1,1,0.0,0,0,5,3,0,0,0,0,4,0,0,0,3,45.0,0,2
0,8,18,5,0,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,80.0,0,0
316,8,21,19,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,62.0,0,0
158,7,13,27,1,1,2,0.0,0,0,4,3,0,0,0,0,0,0,0,0,3,95.0,0,0
43,4,4,27,1,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,3,48.0,0,0
364,10,42,16,0,2,2,0.0,0,2,5,3,0,1,0,0,0,0,1,0,3,101.5,0,0
219,7,10,2,2,5,2,0.0,0,2,5,3,0,0,0,0,0,0,1,0,2,52.0,0,0
288,8,19,5,0,3,2,0.0,0,0,4,3,0,0,0,0,0,0,0,236,3,65.0,0,0
162,7,13,24,0,3,2,0.0,0,4,4,3,0,0,0,0,0,0,0,0,3,84.0,0,0
97,1,32,5,1,2,3,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,150.3,0,1
21,5,29,17,1,3,2,0.0,0,0,6,3,0,0,0,4,4,0,0,0,2,230.0,0,1
214,9,48,20,2,1,1,0.0,0,0,4,0,0,0,0,0,3,2,0,0,2,75.0,0,0
1,2,53,29,0,2,2,0.0,0,3,6,3,0,0,0,0,0,1,0,0,2,120.0,0,1
18,3,7,17,0,2,2,0.0,0,0,3,1,0,0,0,3,3,0,0,0,2,98.88,0,0
142,8,19,6,1,2,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,114.3,0,0
99,8,22,30,0,4,2,0.0,0,2,6,3,0,0,0,0,0,1,0,0,2,169.2,0,2
320,5,27,4,0,3,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,93.38,0,0
211,8,21,20,0,2,2,0.0,0,0,5,3,0,0,0,0,0,0,1,111,2,100.0,0,0
198,10,42,15,2,5,2,0.0,0,0,6,3,0,0,0,3,3,1,0,0,3,68.0,0,0
37,6,27,29,0,1,3,0.0,0,0,5,3,0,0,0,0,6,0,0,0,2,111.6,0,1
408,8,22,30,0,1,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,90.0,0,0
27,3,8,23,0,3,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,118.0,0,0
110,5,30,25,2,1,2,0.0,0,2,5,3,0,0,0,0,0,0,0,0,3,94.5,0,0
129,6,22,2,1,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,130.0,0,0
275,10,41,4,2,0,2,0.0,0,2,5,3,0,26,0,0,0,0,1,0,2,50.0,0,0
152,5,29,11,1,1,2,0.0,0,0,6,3,0,0,0,0,0,2,0,0,3,99.0,0,2
43,6,24,11,2,5,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,140.0,0,1
19,3,7,13,0,1,2,0.0,0,0,3,1,0,0,0,3,3,0,0,0,2,100.5,0,2
107,6,24,10,0,2,1,0.0,0,0,5,3,0,0,0,0,0,1,0,0,3,120.0,0,0
16,3,9,27,2,5,1,0.0,0,0,3,1,0,0,0,3,3,0,0,0,2,101.0,0,0
281,0,16,14,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,62.0,0,0
1,1,35,27,1,0,1,0.0,0,3,6,3,0,0,0,0,0,1,0,0,2,80.1,0,0
88,6,24,17,0,1,2,1.0,0,2,6,3,0,0,0,0,0,0,0,0,2,204.3,0,0
4,1,35,23,0,1,1,0.0,0,0,2,0,0,0,0,0,3,0,0,0,2,138.0,1,0
111,8,20,14,2,1,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,117.6,0,0
74,11,38,18,0,2,2,0.0,0,2,5,3,0,0,0,0,0,0,0,0,3,109.0,0,0
190,5,29,17,2,5,3,0.0,0,4,3,1,0,0,0,3,3,3,0,0,2,274.45,0,0
11,2,50,6,2,0,2,0.0,0,0,5,3,0,0,0,3,3,0,0,0,2,37.0,0,0
46,7,10,6,2,5,2,0.0,0,0,6,3,0,0,0,3,3,2,0,0,2,100.3,0,0
240,10,43,21,2,5,2,0.0,0,2,5,3,0,0,0,4,4,0,0,0,0,84.95,1,2
279,5,30,23,0,2,2,0.0,0,0,4,3,0,1,0,0,0,0,0,0,0,62.0,0,0
2,9,46,9,3,8,2,0.0,0,0,3,1,0,0,0,0,0,0,0,0,2,95.81,0,0
54,1,34,18,0,5,2,0.0,0,2,6,3,0,0,0,0,0,0,0,0,2,151.23,0,1
9,3,6,8,0,4,2,0.0,0,0,3,1,0,0,0,1,0,1,0,0,2,91.1,0,0
64,10,45,31,1,2,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,105.6,0,4
594,3,8,23,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,62.0,0,0
